Chief among these motives was the overwhelming idea of the great whale himself.	jj-in-dt-nns-vbd-dt-jj-nn-in-dt-jj-nn-prp-.	ch-iy-f ah-m-ah-ng dh-iy-z m-ow-t-ih-v-z w-aa-z dh-ah ow-v-er-w-eh-l-m-ih-ng ay-d-iy-ah ah-v dh-ah g-r-ey-t w-ey-l hh-ih-m-s-eh-l-f .	1 0/1 1 1/0 1 0 0/0/1/0 0/1/0 1 0 1 1 0/1 .
No wonder, then, that they made a straight wake for the whale's mouth--the bar--when the wrinkled little old Jonah, there officiating, soon poured them out brimmers all round.	dt-nn-,-rb-,-in-prp-vbn-dt-jj-nn-in-dt-nns-nn-cd-dt-nn-cd-wrb-dt-jj-jj-jj-nnp-,-ex-vbg-,-rb-vbd-prp-in-nns-dt-nn-.	n-ow w-ah-n-d-er , dh-eh-n , dh-ae-t dh-ey m-ey-d ey s-t-r-ey-t w-ey-k f-ao-r dh-ah w-aa-l-ah-z m-aw-th -- dh-ah b-aa-r -- w-eh-n dh-ah r-ih-ng-k-ah-l-d l-ih-t-ah-l ow-l-d jh-aa-n-ah , dh-eh-r ah-f-ih-sh-iy-ey-t-ih-ng , s-uw-n p-ao-r-d dh-eh-m aw-t b-r-ih-m-er-z ao-l r-aw-n-d .	1 1/0 , 1 , 1 1 1 1 1 1 1 0 1/0 1 -- 0 1 -- 1 0 1/0 1/0 1 1/0 , 1 0/1/0/0/0 , 1 1 1 1 1/0 1 1 .
I then glanced round the room; and besides the bedstead and centre table, could see no other furniture belonging to the place, but a rude shelf, the four walls, and a papered fireboard representing a man striking a whale.	prp-rb-vbd-nn-dt-nn-;-cc-in-dt-nn-cc-nn-nn-,-md-vb-dt-jj-nn-vbg-to-dt-nn-,-cc-dt-jj-nn-,-dt-cd-nns-,-cc-dt-nn-nn-vbg-dt-nn-jj-dt-nn-.	iy dh-eh-n g-l-ae-n-s-t r-aw-n-d dh-ah r-uw-m ; ae-n-d b-ih-s-ay-d-z dh-ah b-eh-d-s-t-eh-d ae-n-d s-eh-n-t-er t-ey-b-ah-l , k-uh-d s-iy n-ow ah-dh-er f-er-n-ih-ch-er b-ih-l-ao-ng-ih-ng t-uw dh-ah p-l-ey-s , b-ah-t ey r-uw-d sh-eh-l-f , dh-ah f-ao-r w-ao-l-z , ae-n-d ey p-ey-p-er-d f-ay-er-b-ao-r-d r-eh-p-r-ih-z-eh-n-t-ih-ng ey m-ae-n s-t-r-ay-k-ih-ng ey w-ey-l .	0 1 1 1 0 1 ; 1 0/1 0 1/1 1 1/0 1/0 , 1 1 1 1/0 1/0/0 0/1/0 1 0 1 , 1 1 1 1 , 0 1 1 , 1 1 1/0 1/1 0/0/1/0 1 1 1/0 1 1 .
I remembered a story of a white man--a whaleman too--who, falling among the cannibals, had been tattooed by them.	prp-vbd-dt-nn-in-dt-jj-nn-cd-dt-nn-rb-cd-wp-,-vbg-in-dt-nns-,-vbd-vbn-vbn-in-prp-.	iy r-ih-m-eh-m-b-er-d ey s-t-ao-r-iy ah-v ey w-ay-t m-ae-n -- ey w-aa-l-m-ah-n t-uw -- hh-uw , f-aa-l-ih-ng ah-m-ah-ng dh-ah k-ae-n-ah-b-ah-l-z , hh-ae-d b-ih-n t-ae-t-uw-d b-ay dh-eh-m .	0 0/1/0 1 1/0 1 1 1 1 -- 1 1/0 1 -- 1 , 1/0 0/1 0 1/0/0 , 1 1 0/1 1 1 .
It was now quite plain that he must be some abominable savage or other shipped aboard of a whaleman in the South Seas, and so landed in this Christian country.	prp-vbd-rb-rb-jj-in-prp-md-vb-dt-jj-jj-cc-jj-vbn-in-in-dt-nn-in-dt-jj-nnps-,-cc-rb-vbd-in-dt-nnp-nn-.	ih-t w-aa-z n-aw k-w-ay-t p-l-ey-n dh-ae-t hh-iy m-ah-s-t b-iy s-ah-m ah-b-aa-m-ah-n-ah-b-ah-l s-ae-v-ih-jh ao-r ah-dh-er sh-ih-p-t ah-b-ao-r-d ah-v ey w-aa-l-m-ah-n ih-n dh-ah s-aw-th s-iy-z , ae-n-d s-ow l-ae-n-d-ah-d ih-n dh-ih-s k-r-ih-s-ch-ah-n k-ah-n-t-r-iy .	1 1 1 1 1 1 1 1 1 1 0/1/0/0/0 1/0 1 1/0 1 0/1 1 1 1/0 0 0 1 1 , 1 1 1/0 0 1 1/0 1/0 .
They were nearly all whalemen; chief mates, and second mates, and third mates, and sea carpenters, and sea coopers, and sea blacksmiths, and harpooneers, and ship keepers; a brown and brawny company, with bosky beards; an unshorn, shaggy set, all wearing monkey jackets for morning gowns.	prp-vbd-rb-dt-nn-;-jj-nns-,-cc-nn-vbz-,-cc-nn-vbz-,-cc-nn-nns-,-cc-nn-nns-,-cc-nn-nns-,-cc-nns-,-cc-nn-nns-;-dt-jj-cc-jj-nn-,-in-nn-nns-;-dt-nn-,-jj-vbn-,-dt-vbg-nn-nns-in-nn-nns-.	dh-ey w-er n-ih-r-l-iy ao-l w-aa-l-m-ah-n ; ch-iy-f m-ey-t-s , ae-n-d s-eh-k-ah-n-d m-ey-t-s , ae-n-d th-er-d m-ey-t-s , ae-n-d s-iy k-aa-r-p-ah-n-t-er-z , ae-n-d s-iy k-uw-p-er-z , ae-n-d s-iy b-l-ae-k-s-m-ih-th-s , ae-n-d hh-aa-r-p-uw-n-ih-r-z , ae-n-d sh-ih-p k-iy-p-er-z ; ey b-r-aw-n ae-n-d b-r-ao-n-iy k-ah-m-p-ah-n-iy , w-ih-dh b-aa-s-k-iy b-ih-r-d-z ; ae-n ah-n-sh-ao-r-n , sh-ae-g-iy s-eh-t , ao-l w-eh-r-ih-ng m-ah-ng-k-iy jh-ae-k-ah-t-s f-ao-r m-ao-r-n-ih-ng g-aw-n-z .	1 0 1/0 1 1/0 ; 1 1 , 1 1/0 1 , 1 1 1 , 1 1 1/0/0 , 1 1 1/0 , 1 1 1/1 , 1 0/1/1 , 1 1 1/0 ; 1 1 1 1/0 1/0/0 , 1 1/0 1 ; 1 0/1 , 1/0 1 , 1 1/0 1/0 1/0 1 1/0 1 .
A curious sight; these bashful bears, these timid warrior whalemen!	dt-jj-nn-;-dt-jj-nns-,-dt-jj-nn-nn-!	ey k-y-uh-r-iy-ah-s s-ay-t ; dh-iy-z b-ae-sh-f-ah-l b-eh-r-z , dh-iy-z t-ih-m-ih-d w-ao-r-iy-er w-aa-l-m-ah-n !	1 1/0/0 1 ; 1 1/0 1 , 1 1/0 1/0/0 1/0 !
They are mostly young, of stalwart frames; fellows who have felled forests, and now seek to drop the axe and snatch the whale-lance.	prp-vbp-rb-jj-,-in-jj-nns-;-nns-wp-vbp-vbn-nns-,-cc-rb-vb-to-nn-dt-nn-cc-vb-dt-nn-.	dh-ey aa-r m-ow-s-t-l-iy y-ah-ng , ah-v s-t-ao-l-w-er-t f-r-ey-m-z ; f-eh-l-ow-z hh-uw hh-ae-v f-eh-l-d f-ao-r-ah-s-t-s , ae-n-d n-aw s-iy-k t-uw d-r-aa-p dh-ah ae-k-s ae-n-d s-n-ae-ch dh-ah w-aa-l-l-ah-n-s .	1 1 1/0 1 , 1 1/0 1 ; 1/0 1 1 1 1/0 , 1 1 1 1 1 0 1 1 1 0 1/0 .
Now when a country dandy like this takes it into his head to make a distinguished reputation, and joins the great whale-fishery, you should see the comical things he does upon reaching the seaport.	rb-wrb-dt-nn-jj-in-dt-nns-prp-in-prp$-nn-to-vb-dt-nn-nn-,-cc-vbz-dt-jj-nn-,-prp-md-vb-dt-jj-nns-prp-vbz-in-vbg-dt-nn-.	n-aw w-eh-n ey k-ah-n-t-r-iy d-ae-n-d-iy l-ay-k dh-ih-s t-ey-k-s ih-t ih-n-t-uw hh-ih-z hh-eh-d t-uw m-ey-k ey d-ih-s-t-ih-ng-g-w-ih-sh-t r-eh-p-y-ah-t-ey-sh-ah-n , ae-n-d jh-oy-n-z dh-ah g-r-ey-t w-aa-l-f-ih-sh-er-iy , y-uw sh-uh-d s-iy dh-ah k-aa-m-ih-k-ah-l th-ih-ng-z hh-iy d-ah-z ah-p-aa-n r-iy-ch-ih-ng dh-ah s-iy-p-ao-r-t .	1 1 1 1/0 1/0 1 1 1 1 0/1 1 1 1 1 1 0/1/0 0/0/1/0 , 1 1 0 1 1/1/0 , 1 1 1 0 1/0/0 0 1 1 0/1 1/0 0 1/0 .
Had it not been for us whalemen, that tract of land would this day perhaps have been in as howling condition as the coast of Labrador.	vbd-prp-rb-vbn-in-prp-nn-,-in-nn-in-nn-md-dt-nn-rb-vbp-vbn-in-in-vbg-nn-in-dt-nn-in-nnp-.	hh-ae-d ih-t n-aa-t b-ih-n f-ao-r ah-s w-aa-l-m-ah-n , dh-ae-t t-r-ae-k-t ah-v l-ae-n-d w-uh-d dh-ih-s d-ey p-er-hh-ae-p-s hh-ae-v b-ih-n ih-n ae-z hh-aw-l-ih-ng k-ah-n-d-ih-sh-ah-n ae-z dh-ah k-ow-s-t ah-v l-aa-b-r-aa-d-ao-r .	1 1 1 1 1 1 1/0 , 1 1 1 1 1 1 1 0/1 1 1 0 1 1/0 0/1/0 1 0 1 1 0/1/1 .
In New Bedford, fathers, they say, give whales for dowers to their daughters, and portion off their nieces with a few porpoises a-piece.	in-jj-nnp-,-nns-,-prp-vbp-,-vb-nns-in-nns-to-prp$-nns-,-cc-nn-in-prp$-nns-in-dt-jj-nns-nn-.	ih-n n-uw b-eh-d-f-er-d , f-aa-dh-er-z , dh-ey s-ey , g-ih-v w-ah-l-z f-ao-r d-aw-er-z t-uw dh-eh-r d-ao-t-er-z , ae-n-d p-ao-r-sh-ah-n ao-f dh-eh-r n-iy-s-ah-z w-ih-dh ey f-y-uw p-ao-r-p-ah-z-ah-z ae-p-iy-s .	0 1 1/0 , 1/0 , 1 1 , 1 0 1 1 1 1 1/0 , 1 1/0 1 1 1/0 1 1 1 1/0/0 0/1 .
