Chief among these motives was the overwhelming idea of the great whale himself.	jj-in-dt-nns-vbd-dt-jj-nn-in-dt-jj-nn-prp-.	ch-iy-f ah-m-ah-ng dh-iy-z m-ow-t-ih-v-z w-aa-z dh-ah ow-v-er-w-eh-l-m-ih-ng ay-d-iy-ah ah-v dh-ah g-r-ey-t w-ey-l hh-ih-m-s-eh-l-f .	1 0/1 1 1/0 1 0 0/0/1/0 0/1/0 1 0 1 1 0/1 .
And of all these things the Albino whale was the symbol.	cc-in-dt-dt-nns-dt-nnp-nn-vbd-dt-nn-.	ae-n-d ah-v ao-l dh-iy-z th-ih-ng-z dh-ah ae-l-b-ay-n-ow w-ey-l w-aa-z dh-ah s-ih-m-b-ah-l .	1 1 1 1 0 0 0/1/0 1 1 0 1/0 .
At intervals, he would refer to piles of old log-books beside him, wherein were set down the seasons and places in which, on various former voyages of various ships, sperm whales had been captured or seen.	in-nns-,-prp-md-vb-to-nn-in-jj-nns-in-prp-,-wrb-vbd-vbn-rb-dt-nns-cc-vbz-in-wdt-,-in-jj-jj-nns-in-jj-nns-,-nn-nns-vbd-vbn-vbn-cc-vbn-.	ae-t ih-n-t-er-v-ah-l-z , hh-iy w-uh-d r-ah-f-er t-uw p-ay-l-z ah-v ow-l-d l-aa-g-b-uh-k-s b-ih-s-ay-d hh-ih-m , w-eh-r-ih-n w-er s-eh-t d-aw-n dh-ah s-iy-z-ah-n-z ae-n-d p-l-ey-s-ah-z ih-n w-ih-ch , aa-n v-eh-r-iy-ah-s f-ao-r-m-er v-oy-ah-jh-ah-z ah-v v-eh-r-iy-ah-s sh-ih-p-s , s-p-er-m w-ah-l-z hh-ae-d b-ih-n k-ae-p-ch-er-d ao-r s-iy-n .	1 1/0/0 , 1 1 0/1 1 1 1 1 1/1 0/1 1 , 0/1 0 1 1 0 1/0 1 1/0 0 1 , 1 1/0/0 1/0 1/0 1 1/0/0 1 , 1 0 1 1 1/0 1 1 .
On this hint, attempts have been made to construct elaborate migratory charts of the sperm whale.* *Since the above was written, the statement is happily borne out by an official circular, issued by Lieutenant Maury, of the National Observatory, Washington, April 16th, 1851.	in-dt-nn-,-nns-vbp-vbn-vbn-to-vb-vb-jj-nns-in-dt-nn-nn-.-*-nn-dt-in-vbd-vbn-,-dt-nn-vbz-rb-vbn-in-in-dt-jj-jj-,-vbn-in-nnp-nnp-,-in-dt-jj-nnp-,-nnp-,-nnp-nn-,-cd-.	aa-n dh-ih-s hh-ih-n-t , ah-t-eh-m-p-t-s hh-ae-v b-ih-n m-ey-d t-uw k-ah-n-s-t-r-ah-k-t ih-l-ae-b-r-ah-t m-ay-g-r-ah-t-ao-r-iy ch-aa-r-t-s ah-v dh-ah s-p-er-m w-ey-l . * s-ah-n-s dh-ah ah-b-ah-v w-aa-z r-ih-t-ah-n , dh-ah s-t-ey-t-m-ah-n-t ih-s hh-ae-p-ah-l-iy b-ao-r-n aw-t b-ay ae-n ah-f-ih-sh-ah-l s-er-k-y-ah-l-er , ih-sh-uw-d b-ay l-uw-t-eh-n-ah-n-t m-ao-r-iy , ah-v dh-ah n-ae-sh-ah-n-ah-l ah-b-z-er-v-ah-t-ao-r-iy , w-aa-sh-ih-ng-t-ah-n , ey-p-r-ah-l th , 85 .	1 1 1 , 0/1 1 1 1 1 0/1 0/1/0 1/0/0/0 1 1 0 1 1 . * 0 0 0/1 1 1/0 , 0 1/0 1 1/0/0 1 1 1 1 0/1/0 1/0/0 , 1/0 1 0/1/0 1/0 , 1 0 1/0/0 0/1/0/0/0 , 1/0/0 , 1/0 0 , 1851 .
The sum is, that at particular seasons within that breadth and along that path, migrating whales may with great confidence be looked for.	dt-nn-vbz-,-in-in-jj-nns-in-in-nn-cc-in-in-nn-,-vbg-nns-md-in-jj-nn-vb-vbd-in-.	dh-ah s-ah-m ih-s , dh-ae-t ae-t p-er-t-ih-k-y-ah-l-er s-iy-z-ah-n-z w-ih-dh-ih-n dh-ae-t b-r-eh-d-th ae-n-d ah-l-ao-ng dh-ae-t p-ae-th , m-ay-g-r-ey-t-ih-ng w-ah-l-z m-ey w-ih-dh g-r-ey-t k-aa-n-f-ah-d-ah-n-s b-iy l-uh-k-t f-ao-r .	0 1 1 , 1 1 0/1/0/0 1/0 0/1 1 1 1 0/1 1 1 , 1/0/0 0 1 1 1 1/0/0 1 1 1 .
In general, the same remark, only within a less wide limit, applies to the solitaries and hermits among the matured, aged sperm whales.	in-jj-,-dt-jj-nn-,-rb-in-dt-jjr-jj-nn-,-vbz-to-dt-nns-cc-nns-in-dt-nn-,-vbn-nn-nns-.	ih-n jh-eh-n-er-ah-l , dh-ah s-ey-m r-ih-m-aa-r-k , ow-n-l-iy w-ih-dh-ih-n ey l-eh-s w-ay-d l-ih-m-ah-t , ah-p-l-ay-z t-uw dh-ah s-aa-l-ah-t-eh-r-iy-z ae-n-d hh-er-m-ah-t-s ah-m-ah-ng dh-ah m-ah-t-y-uh-r-d , ey-jh-d s-p-er-m w-ah-l-z .	0 1/0/0 , 0 1 0/1 , 1/0 0/1 1 1 1 1/0 , 0/1 1 0 1/0/1/0 1 1/0 0/1 0 0/1 , 1 1 0 .
There it was, too, that most of the deadly encounters with the white whale had taken place; there the waves were storied with his deeds; there also was that tragic spot where the monomaniac old man had found the awful motive to his vengeance.	ex-prp-vbd-,-rb-,-in-rbs-in-dt-rb-nns-in-dt-jj-nn-vbd-vbn-nn-;-ex-dt-nns-vbd-jj-in-prp$-nns-;-ex-rb-vbd-in-jj-nn-wrb-dt-nn-jj-nn-vbd-vbd-dt-jj-nn-to-prp$-nn-.	dh-eh-r ih-t w-aa-z , t-uw , dh-ae-t m-ow-s-t ah-v dh-ah d-eh-d-l-iy eh-n-k-aw-n-t-er-z w-ih-dh dh-ah w-ay-t w-ey-l hh-ae-d t-ey-k-ah-n p-l-ey-s ; dh-eh-r dh-ah w-ey-v-z w-er s-t-ao-r-iy-d w-ih-dh hh-ih-z d-iy-d-z ; dh-eh-r ao-l-s-ow w-aa-z dh-ae-t t-r-ae-jh-ih-k s-p-aa-t w-eh-r dh-ah m-aa-n-ah-m-ey-n-iy-ae-k ow-l-d m-ae-n hh-ae-d f-aw-n-d dh-ah aa-f-ah-l m-ow-t-ih-v t-uw hh-ih-z v-eh-n-jh-ah-n-s .	1 1 1 , 1 , 1 1 1 0 1/0 0/1/0 1 0 1 1 1 1/0 1 ; 1 0 1 0 1/0 1 1 1 ; 1 1/0 1 1 1/0 1 1 0 1/0/1/1 1 1 1 1 0 1/0 1/0 1 1 1/0 .
But granting all this; yet, regarded discreetly and coolly, seems it not but a mad idea, this; that in the broad boundless ocean, one solitary whale, even if encountered, should be thought capable of individual recognition from his hunter, even as a white-bearded Mufti in the thronged thoroughfares of Constantinople?	cc-vbg-dt-dt-;-rb-,-vbn-rb-cc-rb-,-vbz-prp-rb-cc-dt-jj-nn-,-dt-;-in-in-dt-jj-jj-nn-,-cd-jj-nn-,-rb-in-vbn-,-md-vb-vbd-jj-in-jj-nn-in-prp$-nn-,-rb-in-dt-nn-nnp-in-dt-nn-nns-in-nnp-?	b-ah-t g-r-ae-n-t-ih-ng ao-l dh-ih-s ; y-eh-t , r-ah-g-aa-r-d-ah-d d-ih-s-k-r-iy-t-l-iy ae-n-d k-uw-l-iy , s-iy-m-z ih-t n-aa-t b-ah-t ey m-ae-d ay-d-iy-ah , dh-ih-s ; dh-ae-t ih-n dh-ah b-r-ao-d b-aw-n-d-l-ah-s ow-sh-ah-n , w-ah-n s-aa-l-ah-t-eh-r-iy w-ey-l , iy-v-ih-n ih-f ih-n-k-aw-n-t-er-d , sh-uh-d b-iy th-ao-t k-ey-p-ah-b-ah-l ah-v ih-n-d-ah-v-ih-jh-ah-w-ah-l r-eh-k-ah-g-n-ih-sh-ah-n f-r-ah-m hh-ih-z hh-ah-n-t-er , iy-v-ih-n ae-z ey w-ay-t-b-ih-r-d-ah-d m-ah-f-t-iy ih-n dh-ah th-r-ao-n-d th-er-ow-f-aa-r-z ah-v k-aa-n-s-t-ah-n-t-ih-n-ow-p-ah-l ?	1 1/0 1 1 ; 1 , 0/1/0 0/1/0 1 1/0 , 1 1 1 1 1 1 0/1/0 , 1 ; 1 0 0 1 1/0 1/0 , 1 1/0/0/0 1 , 1/0 1 0/1/0 , 1 1 1 1/0/0 1 0/0/1/0/0 0/0/1/0 1 1 1/0 , 1/0 1 1 1/1/0 1/0 0 0 1 1/1 1 1/0/1/1/0 ?
And have I not tallied the whale, Ahab would mutter to himself, as after poring over his charts till long after midnight he would throw himself back in reveries--tallied him, and shall he escape?	cc-vbp-prp-rb-vbn-dt-nn-,-nnp-md-vb-to-prp-,-in-in-jj-in-prp$-nns-in-jj-in-nn-prp-md-vb-prp-rb-in-nns-cd-vbn-prp-,-cc-md-prp-vbp-?	ae-n-d hh-ae-v iy n-aa-t t-ae-l-iy-d dh-ah w-ey-l , ah-hh-ae-b w-uh-d m-ah-t-er t-uw hh-ih-m-s-eh-l-f , ae-z ae-f-t-er p-ao-r-ih-ng ow-v-er hh-ih-z ch-aa-r-t-s t-ih-l l-ao-ng ae-f-t-er m-ih-d-n-ay-t hh-iy w-uh-d th-r-ow hh-ih-m-s-eh-l-f b-ae-k ih-n r-ih-v-er-iy-z -- t-ae-l-iy-d hh-ih-m , ae-n-d sh-ae-l hh-iy ih-s-k-ey-p ?	1 1 0 1 1/0 0 1 , 0/1 1 1/0 1 0/1 , 1 1/0 1/0 1/0 1 1 1 1 1/0 1/0 1 1 1 0/1 1 0 0/0 -- 1/0 1 , 1 1 1 0/1 ?
For, at such times, crazy Ahab, the scheming, unappeasedly steadfast hunter of the white whale; this Ahab that had gone to his hammock, was not the agent that so caused him to burst from it in horror again.	in-,-in-jj-vbz-,-jj-nnp-,-dt-jj-,-rb-jj-nn-in-dt-jj-nn-;-dt-nnp-in-vbd-vbn-to-prp$-nn-,-vbd-rb-dt-nn-in-rb-vbn-prp-to-nn-in-prp-in-nn-rb-.	f-ao-r , ae-t s-ah-ch t-ay-m-z , k-r-ey-z-iy ah-hh-ae-b , dh-ah s-k-iy-m-ih-ng , ah-n-ah-p-iy-s-ah-d-l-iy s-t-eh-d-f-ae-s-t hh-ah-n-t-er ah-v dh-ah w-ay-t w-ey-l ; dh-ih-s ah-hh-ae-b dh-ae-t hh-ae-d g-ao-n t-uw hh-ih-z hh-ae-m-ah-k , w-aa-z n-aa-t dh-ah ey-jh-ah-n-t dh-ae-t s-ow k-aa-z-d hh-ih-m t-uw b-er-s-t f-r-ah-m ih-t ih-n hh-ao-r-er ah-g-eh-n .	1 , 1 1 1 , 1/0 0/1 , 0 1/0 , 1/0/1/0/0 1/0 1/0 1 0 1 1 ; 1 0/1 1 1 1 1 1 1/0 , 1 1 0 1/0 1 1 1 1 1 1 1 1 0 1/0 0/1 .
I care not to perform this part of my task methodically; but shall be content to produce the desired impression by separate citations of items, practically or reliably known to me as a whaleman; and from these citations, I take it--the conclusion aimed at will naturally follow of itself.	prp-vbp-rb-to-vb-dt-nn-in-prp$-nn-rb-;-cc-md-vb-nn-to-vb-dt-nn-nn-in-jj-nns-in-nns-,-rb-cc-rb-vbn-to-prp-in-dt-nn-;-cc-in-dt-nns-,-prp-vbp-prp-cd-dt-nn-vbn-in-md-rb-vb-in-prp-.	iy k-eh-r n-aa-t t-uw p-er-f-ao-r-m dh-ih-s p-aa-r-t ah-v m-ay t-ae-s-k m-ah-th-aa-d-ih-k-ah-l-iy ; b-ah-t sh-ae-l b-iy k-aa-n-t-eh-n-t t-uw p-r-ah-d-uw-s dh-ah d-ih-z-ay-er-d ih-m-p-r-eh-sh-ah-n b-ay s-eh-p-er-ey-t s-ih-t-ey-sh-ah-n-z ah-v ay-t-ah-m-z , p-r-ae-k-t-ah-k-l-iy ao-r r-ih-l-ay-ah-b-l-iy n-ow-n t-uw m-iy ae-z ey w-aa-l-m-ah-n ; ae-n-d f-r-ah-m dh-iy-z s-ih-t-ey-sh-ah-n-z , iy t-ey-k ih-t -- dh-ah k-ah-n-k-l-uw-zh-ah-n ey-m-d ae-t w-ih-l n-ae-ch-er-ah-l-iy f-aa-l-ow ah-v ih-t-s-eh-l-f .	0 1 1 1 0/1 1 1 1 1 1 0/1/0/0/0 ; 1 1 1 1/0 1 0/1 0 0/1/0 0/1/0 1 1/0/0 1/1/0 1 1/0 , 1/0/0 1 0/1/0/0 1 1 1 1 1 1/0 ; 1 1 1 1/1/0 , 0 1 1 -- 0 0/1/0 1 1 1 1/0/0/0 1/0 1 0/1 .
First: I have personally known three instances where a whale, after receiving a harpoon, has effected a complete escape; and, after an interval (in one instance of three years), has been again struck by the same hand, and slain; when the two irons, both marked by the same private cypher, have been taken from the body.	jj-:-prp-vbp-rb-vbn-cd-nns-wrb-dt-nn-,-in-vbg-dt-nn-,-vbz-vbn-dt-jj-vb-;-cc-,-in-dt-jj-(-in-cd-nn-in-cd-nns-)-,-vbz-vbn-rb-vbd-in-dt-jj-nn-,-cc-vbn-;-wrb-dt-cd-nns-,-nn-vbn-in-dt-jj-jj-nn-,-vbp-vbn-vbn-in-dt-nn-.	f-er-s-t : iy hh-ae-v p-er-s-ah-n-ah-l-iy n-ow-n th-r-iy ih-n-s-t-ah-n-s-ah-z w-eh-r ey w-ey-l , ae-f-t-er r-ah-s-iy-v-ih-ng ey hh-aa-r-p-uw-n , hh-ae-z ih-f-eh-k-t-ah-d ey k-ah-m-p-l-iy-t ih-s-k-ey-p ; ae-n-d , ae-f-t-er ae-n ih-n-t-er-v-ah-l ( ih-n w-ah-n ih-n-s-t-ah-n-s ah-v th-r-iy y-ih-r-z ) , hh-ae-z b-ih-n ah-g-eh-n s-t-r-ah-k b-ay dh-ah s-ey-m hh-ae-n-d , ae-n-d s-l-ey-n ; w-eh-n dh-ah t-uw ay-er-n-z , b-aa-th m-aa-r-k-t b-ay dh-ah s-ey-m p-r-ay-v-ah-t s-ay-f-er , hh-ae-v b-ih-n t-ey-k-ah-n f-r-ah-m dh-ah b-aa-d-iy .	1 : 0 1 1/0/0/0 1 1 1/0/0 1 1 1 , 1/0 0/1/0 1 0/1 , 1 0/1/0 1 0/1 0/1 ; 1 , 1/0 1 1/0/0 ( 0 1 1/0 1 1 1 ) , 1 1 0/1 1 1 0 1 1 , 1 1 ; 1 0 1 1 , 1 1 1 0 1 1/0 1/0 , 1 1 1/0 1 0 1/0 .
Meanwhile, the whale he had struck must also have been on its travels; no doubt it had thrice circumnavigated the globe, brushing with its flanks all the coasts of Africa; but to no purpose.	rb-,-dt-nn-prp-vbd-vbd-md-rb-vbp-vbn-in-prp$-nns-;-dt-nn-prp-vbd-rb-nn-dt-nn-,-vbg-in-prp$-nns-dt-dt-nns-in-nnp-;-cc-to-dt-nn-.	m-iy-n-w-ay-l , dh-ah w-ey-l hh-iy hh-ae-d s-t-r-ah-k m-ah-s-t ao-l-s-ow hh-ae-v b-ih-n aa-n ih-t-s t-r-ae-v-ah-l-z ; n-ow d-aw-t ih-t hh-ae-d th-r-ay-s s-er-k-ah-m-n-aa-v-ah-g-ey-t-ah-d dh-ah g-l-ow-b , b-r-ah-sh-ih-ng w-ih-dh ih-t-s f-l-ae-ng-k-s ao-l dh-ah k-ow-s-t-s ah-v ae-f-r-ih-k-ah ; b-ah-t t-uw n-ow p-er-p-ah-s .	1/0 , 0 1 1 1 1 1 1/0 1 1 1 1 1/0 ; 1 1 1 1 1 1/1/0/0/1/0 0 1 , 1/0 1 1 1 1 0 1 1 1/0/0 ; 1 1 1 1/0 .
This man and this whale again came together, and the one vanquished the other.	dt-nn-cc-dt-nn-rb-vbd-rb-,-cc-dt-cd-nn-dt-jj-.	dh-ih-s m-ae-n ae-n-d dh-ih-s w-ey-l ah-g-eh-n k-ey-m t-ah-g-eh-dh-er , ae-n-d dh-ah w-ah-n v-ae-n-k-w-ih-sh-t dh-ah ah-dh-er .	1 1 1 1 1 0/1 1 0/1/0 , 1 0 1 1/0 0 1/0 .
I say I, myself, have known three instances similar to this; that is in two of them I saw the whales struck; and, upon the second attack, saw the two irons with the respective marks cut in them, afterwards taken from the dead fish.	prp-vbp-prp-,-prp-,-vbp-vbn-cd-nns-jj-to-dt-;-in-vbz-in-cd-in-prp-prp-vbd-dt-nns-vbd-;-cc-,-in-dt-nn-nn-,-vbd-dt-cd-nns-in-dt-jj-nns-vbp-in-prp-,-rb-vbn-in-dt-jj-nn-.	iy s-ey iy , m-ay-s-eh-l-f , hh-ae-v n-ow-n th-r-iy ih-n-s-t-ah-n-s-ah-z s-ih-m-ah-l-er t-uw dh-ih-s ; dh-ae-t ih-s ih-n t-uw ah-v dh-eh-m iy s-ao dh-ah w-ah-l-z s-t-r-ah-k ; ae-n-d , ah-p-aa-n dh-ah s-eh-k-ah-n-d ah-t-ae-k , s-ao dh-ah t-uw ay-er-n-z w-ih-dh dh-ah r-ih-s-p-eh-k-t-ih-v m-aa-r-k-s k-ah-t ih-n dh-eh-m , ae-f-t-er-w-er-d-z t-ey-k-ah-n f-r-ah-m dh-ah d-eh-d f-ih-sh .	0 1 0 , 0/1 , 1 1 1 1/0/0 1/0/0 1 1 ; 1 1 0 1 1 1 0 1 0 0 1 ; 1 , 0/1 0 1/0 0/1 , 1 0 1 1 1 0 0/1/0 1 1 0 1 , 1/0/0 1/0 1 0 1 1 .
In the three-year instance, it so fell out that I was in the boat both times, first and last, and the last time distinctly recognised a peculiar sort of huge mole under the whale's eye, which I had observed there three years previous.	in-dt-nn-nn-,-prp-rb-vbd-in-in-prp-vbd-in-dt-nn-nn-vbz-,-jj-cc-jj-,-cc-dt-jj-nn-rb-nn-dt-jj-nn-in-jj-nn-in-dt-nns-nn-,-wdt-prp-vbd-vbn-ex-cd-nns-jj-.	ih-n dh-ah th-r-iy-y-ih-r ih-n-s-t-ah-n-s , ih-t s-ow f-eh-l aw-t dh-ae-t iy w-aa-z ih-n dh-ah b-ow-t b-aa-th t-ay-m-z , f-er-s-t ae-n-d l-ae-s-t , ae-n-d dh-ah l-ae-s-t t-ay-m d-ih-s-t-ih-ng-k-t-l-iy r-eh-k-ah-g-n-ay-z-d ey p-ah-k-y-uw-l-y-er s-ao-r-t ah-v hh-y-uw-jh m-ow-l ah-n-d-er dh-ah w-aa-l-ah-z ay , w-ih-ch iy hh-ae-d ah-b-z-er-v-d dh-eh-r th-r-iy y-ih-r-z p-r-iy-v-iy-ah-s .	0 0 1/1 1/0 , 1 1 1 1 1 0 1 0 0 1 1 1 , 1 1 1 , 1 0 1 1 0/1/0 1/0/1 1 0/1/0 1 1 1 1 1/0 0 1/0 1 , 1 0 1 0/1 1 1 1 1/0/0 .
Secondly: It is well known in the Sperm Whale Fishery, however ignorant the world ashore may be of it, that there have been several memorable historical instances where a particular whale in the ocean has been at distant times and places popularly cognisable.	rb-:-prp-vbz-rb-vbn-in-dt-nnp-nnp-nnp-,-rb-jj-dt-nn-rb-md-vb-in-prp-,-in-ex-vbp-vbn-jj-jj-jj-nns-wrb-dt-jj-nn-in-dt-nn-vbz-vbn-in-jj-vbz-cc-vbz-rb-nn-.	s-eh-k-ah-n-d-l-iy : ih-t ih-s w-eh-l n-ow-n ih-n dh-ah s-p-er-m w-ey-l f-ih-sh-er-iy , hh-aw-eh-v-er ih-g-n-er-ah-n-t dh-ah w-er-l-d ah-sh-ao-r m-ey b-iy ah-v ih-t , dh-ae-t dh-eh-r hh-ae-v b-ih-n s-eh-v-r-ah-l m-eh-m-er-ah-b-ah-l hh-ih-s-t-ao-r-ih-k-ah-l ih-n-s-t-ah-n-s-ah-z w-eh-r ey p-er-t-ih-k-y-ah-l-er w-ey-l ih-n dh-ah ow-sh-ah-n hh-ae-z b-ih-n ae-t d-ih-s-t-ah-n-t t-ay-m-z ae-n-d p-l-ey-s-ah-z p-aa-p-y-ah-l-er-l-iy k-aa-g-n-ay-z-ah-b-ah-l .	1/0/0 : 1 1 1 1 0 0 1 1 1/0/0 , 0/1/0 1/0/0 0 1 0/1 1 1 1 1 , 1 1 1 1 1/0 1/0/0/0 0/1/0/0 1/0/0 1 1 0/1/0/0 1 0 0 1/0 1 1 1 1/0 1 1 1/0 1/0/0/0 1/1/0/0 .
Why such a whale became thus marked was not altogether and originally owing to his bodily peculiarities as distinguished from other whales; for however peculiar in that respect any chance whale may be, they soon put an end to his peculiarities by killing him, and boiling him down into a peculiarly valuable oil.	wrb-jj-dt-nn-vbd-rb-vbn-vbd-rb-rb-cc-rb-jj-to-prp$-rb-nns-in-vbn-in-jj-nns-;-in-rb-jj-in-in-nn-dt-nn-nn-md-vb-,-prp-rb-vb-dt-nn-to-prp$-nns-in-vbg-prp-,-cc-vbg-prp-rb-in-dt-rb-jj-nn-.	w-ay s-ah-ch ey w-ey-l b-ih-k-ey-m dh-ah-s m-aa-r-k-t w-aa-z n-aa-t ao-l-t-ah-g-eh-dh-er ae-n-d er-ih-jh-ah-n-ah-l-iy ow-ih-ng t-uw hh-ih-z b-aa-d-ah-l-iy p-eh-k-y-uw-l-y-eh-r-ah-t-iy-z ae-z d-ih-s-t-ih-ng-g-w-ih-sh-t f-r-ah-m ah-dh-er w-ah-l-z ; f-ao-r hh-aw-eh-v-er p-ah-k-y-uw-l-y-er ih-n dh-ae-t r-ih-s-p-eh-k-t eh-n-iy ch-ae-n-s w-ey-l m-ey b-iy , dh-ey s-uw-n p-uh-t ae-n eh-n-d t-uw hh-ih-z p-eh-k-y-uw-l-y-eh-r-ah-t-iy-z b-ay k-ih-l-ih-ng hh-ih-m , ae-n-d b-oy-l-ih-ng hh-ih-m d-aw-n ih-n-t-uw ey p-ih-k-y-uw-l-y-er-l-iy v-ae-l-y-ah-b-ah-l oy-l .	1 1 1 1 0/1 1 1 1 1 0/0/1/0 1 0/1/0/0/0 1/0 1 1 1/0/0 1/1/1/0/0 1 0/1/0 1 1/0 0 ; 1 0/1/0 0/1/0 0 1 0/1 1/0 1 1 1 1 , 1 1 1 1 1 1 1 1/1/1/0/0 1 1/0 1 , 1 1/0 1 1 0/1 1 0/1/0/0 1/0/0 1 .
But not only did each of these famous whales enjoy great individual celebrity--Nay, you may call it an ocean-wide renown; not only was he famous in life and now is immortal in forecastle stories after death, but he was admitted into all the rights, privileges, and distinctions of a name; had as much a name indeed as Cambyses or Caesar.	cc-rb-rb-vbd-dt-in-dt-jj-nns-vbp-jj-jj-nn-cd-rb-,-prp-md-vb-prp-dt-nn-nn-;-rb-rb-vbd-prp-jj-in-nn-cc-rb-vbz-jj-in-nn-nns-in-nn-,-cc-prp-vbd-vbd-in-dt-dt-nns-,-nns-,-cc-nns-in-dt-nn-;-vbd-in-jj-dt-nn-rb-in-nnps-cc-nnp-.	b-ah-t n-aa-t ow-n-l-iy d-ih-d iy-ch ah-v dh-iy-z f-ey-m-ah-s w-ah-l-z eh-n-jh-oy g-r-ey-t ih-n-d-ah-v-ih-jh-ah-w-ah-l s-ah-l-eh-b-r-ih-t-iy -- n-ey , y-uw m-ey k-ao-l ih-t ae-n ow-sh-ah-n-w-ay-d r-ih-n-aw-n ; n-aa-t ow-n-l-iy w-aa-z hh-iy f-ey-m-ah-s ih-n l-ay-f ae-n-d n-aw ih-s ih-m-ao-r-t-ah-l ih-n f-ao-r-k-ae-s-ah-l s-t-ao-r-iy-z ae-f-t-er d-eh-th , b-ah-t hh-iy w-aa-z ah-d-m-ih-t-ah-d ih-n-t-uw ao-l dh-ah r-ay-t-s , p-r-ih-v-iy-l-eh-jh-ah-z , ae-n-d d-ih-s-t-ih-ng-k-sh-ah-n-z ah-v ey n-ey-m ; hh-ae-d ae-z m-ah-ch ey n-ey-m ih-n-d-iy-d ae-z k-ae-m-b-ay-s-ah-z ao-r k-ey-s-aa-r .	1 1 1/0 1 1 1 1 1/0 0 0/1 1 0/0/1/0/0 0/1/0/0 -- 1 , 1 1 1 1 1 1/0/1 0/1 ; 1 1/0 1 1 1/0 0 1 1 1 1 0/1/0 0 0/1/0 1/0 1/0 1 , 1 1 1 0/1/0 0/1 1 0 1 , 1/0/1/0 , 1 1/1/0 1 1 1 ; 1 1 1 1 1 0/1 1 1/0/0 1 1/1 .
Was it not so, O Don Miguel! thou Chilian whale, marked like an old tortoise with mystic hieroglyphics upon the back!	vbd-prp-rb-rb-,-O-vb-nnp-!-prp-nnp-nn-,-vbn-in-dt-jj-nn-in-jj-nns-in-dt-jj-!	w-aa-z ih-t n-aa-t s-ow , ow d-aa-n m-iy-g-ah-l ! dh-aw ch-ih-l-iy-ah-n w-ey-l , m-aa-r-k-t l-ay-k ae-n ow-l-d t-ao-r-t-ah-s w-ih-dh m-ih-s-t-ih-k hh-ay-r-ow-g-l-ih-f-ih-k-s ah-p-aa-n dh-ah b-ae-k !	1 1 1 1 , 1 1 0/0 ! 1 1/0 1 , 1 1 1 1 1/0 1 1/0 1/0/1/0 0/1 0 1 !
In plain prose, here are four whales as well known to the students of Cetacean History as Marius or Sylla to the classic scholar.	in-jj-nn-,-rb-vbp-cd-nns-in-rb-vbn-to-dt-nns-in-nnp-nnp-in-nnps-cc-nnp-to-dt-jj-nn-.	ih-n p-l-ey-n p-r-ow-z , hh-ih-r aa-r f-ao-r w-ah-l-z ae-z w-eh-l n-ow-n t-uw dh-ah s-t-uw-d-ah-n-t-s ah-v s-ah-t-ah-sh-eh-ah-n hh-ih-s-t-er-iy ae-z m-eh-r-iy-ah-s ao-r s-ih-l-ah t-uw dh-ah k-l-ae-s-ih-k s-k-aa-l-er .	0 1 1 , 1 1 1 0 1 1 1 1 0 1/0 1 0/0/1 1/0/0 1 1/0 1 1/0 1 0 1/0 1/0 .
I do not know where I can find a better place than just here, to make mention of one or two other things, which to me seem important, as in printed form establishing in all respects the reasonableness of the whole story of the White Whale, more especially the catastrophe.	prp-vbp-rb-vb-wrb-prp-md-vb-dt-jjr-nn-in-rb-rb-,-to-vb-vb-in-cd-cc-cd-jj-nns-,-wdt-to-prp-vbp-jj-,-in-in-vbn-nn-vbg-in-dt-nns-dt-nns-in-dt-jj-nn-in-dt-jj-nnp-,-jjr-rb-dt-nn-.	iy d-uw n-aa-t n-ow w-eh-r iy k-ae-n f-ay-n-d ey b-eh-t-er p-l-ey-s dh-ae-n jh-ah-s-t hh-ih-r , t-uw m-ey-k m-eh-n-sh-ah-n ah-v w-ah-n ao-r t-uw ah-dh-er th-ih-ng-z , w-ih-ch t-uw m-iy s-iy-m ih-m-p-ao-r-t-ah-n-t , ae-z ih-n p-r-ih-n-t-ah-d f-ao-r-m ih-s-t-ae-b-l-ih-sh-ih-ng ih-n ao-l r-ah-s-p-eh-k-t-s dh-ah r-iy-z-ah-n-ah-b-ah-l-n-ah-s ah-v dh-ah hh-ow-l s-t-ao-r-iy ah-v dh-ah w-ay-t w-ey-l , m-ao-r ah-s-p-eh-sh-l-iy dh-ah k-ah-t-ae-s-t-r-ah-f-iy .	0 1 1 1 1 0 1 1 1 1/0 1 1 1 1 , 1 1 1/0 1 1 1 1 1/0 0 , 1 1 1 1 0/1/0 , 1 0 1/0 1 0/1/0/0 0 1 0/1 0 1/0/0/0/0 1 0 1 1/0 1 0 1 1 , 1 0/1/0 0 0/1/0/0 .
