"Name of Satellite, Alternate Names"	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																												
Beidou G5 (Compass G-11)	China	China	Chinese Defense Ministry	Military	Navigation/Global Positioning		GEO		59	"35,776"	"35,799"	2.73E-04	1.87	1436.15	"2,300"			2/24/2012	8 yrs.	Space Technology Research Institute (part of CASC)	China	Xichang Satellite Launch Center	Long March 3A	2012-008A	38091	Part of Beidou constellation.		ZARYA	http://www.spaceflightnow.com/news/n1202/24longmarch/	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012																																																																																																																																																																																																																																
Beidou IGSO-1 (Compass G-5)	China	China	Chinese Defense Ministry	Military	Navigation/Global Positioning		GEO		118	"35,670"	"35,893"	2.65E-03	55.09	1435.82	"4,200"	"1,900"		7/31/2010	8 yrs.	Space Technology Research Institute (part of CASC)	China	Xichang Satellite Launch Center	Long March 3A	2010-036A	36828	Part of Beidou constellation.		SC - ASCR	http://nssdc.gsfc.nasa.gov/spacewarn/spx681.html	http://www.lib.cas.cz/space.40/2010/036A.HTM																																																																																																																																																																																																																																
Beidou IGSO-2 (Compass G-7)	China	China	Chinese Defense Ministry	Military	Navigation/Global Positioning		GEO		118	"35,717"	"35,817"	1.19E-03	55.23	1436.12	"4,200"	"1,900"		12/17/2010	8 yrs.	Space Technology Research Institute (part of CASC)	China	Xichang Satellite Launch Center	Long March 3A	2010-068A	37256	Part of Beidou constellation.		SC - ASCR	http://www.insidegnss.com/compass	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/068A.HTM																																																																																																																																																																																																																																
Beidou IGSO-3 (Compass G-8)	China	China	Chinese Defense Ministry	Military	Navigation/Global Positioning		GEO		118	"35,693"	"37,872"	2.52E-02	96.4	1435.93	"4,200"	"1,900"		4/9/2011		Space Technology Research Institute (part of CASC)	China	Xichang Satellite Launch Center	Long March 3A	2011-013A	37384	Part of Beidou constellation.		JM/5_11	http://nssdc.gsfc.nasa.gov/spacewarn/spx690.html	http://www.lib.cas.cz/space.40/2011/I009A.HTM	http://www.planet4589.org/space/log/geo.log																																																																																																																																																																																																																															
Beidou IGSO-4 (Compass G-9)	China	China	Chinese Defense Ministry	Military	Navigation/Global Positioning		GEO		0	"35,708"	"35,879"	2.03E-03	55.2	1435.1	"4,200"	"1,900"		7/26/2011	8 yrs.	Space Technology Research Institute (part of CASC)	China	Xichang Satellite Launch Center	Long March 3A	2011-038A	37763	Part of Beidou constellation.		SC - ASCR 	http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=2011-038A	http://www.lib.cas.cz/space.40/2011/038A.HTM	http://www.chinahots.info/China+Army/showpage1874.html																																																																																																																																																																																																																															
Beidou ISGO-5 (Compass G-10)	China	China	Chinese Defense Ministry	Military	Navigation/Global Positioning		GEO		104.21	"35,708"	"35,864"	1.85E-03	55.16	1436.08	"4,200"	"1,900"		12/1/2011	8 yrs.	Space Technology Research Institute (part of CASC)	China	Xichang Satellite Launch Center	Long March 3A	2011-073A	37948	Part of Beidou constellation.		JM/1_12	http://www.insidegnss.com/node/2869	http://www.lib.cas.cz/space.40/2011/073A.HTM																																																																																																																																																																																																																																
Beidou M1 (Compass M1)	China	China	Chinese Defense Ministry	Military	Navigation/Global Positioning		MEO		0	"21,519"	"21,545"	4.66E-04	55.26	773.39	"2,200"			4/14/2007	8 yrs.	Space Technology Research Institute (part of CASC)	China	Xichang Satellite Launch Center	Long March 3A	2007-011A	31115	Part of Beidou constellation; first one in MEO orbit.			http://www.n2yo.com/satellite.php?s=31115	http://www.lib.cas.cz/www/space.40/2007/011A.HTM																																																																																																																																																																																																																																
"BeijinGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)"	China	China	Beijing Landview Mapping Information Technology Co. Ltd (BLMIT)	Civil	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	681	703	1.56E-03	97.9	98.6	166	155	50	10/27/2005	7 yrs.	Tsinghua University/University of Surrey	China/United Kingdom	Plesetsk Cosmodrome	Kosmos 3M	2005-043A	28890	Earth observation for Disaster Monitoring Constellation (DMC); also research.		www.satellitedebris.net 12/12	http://www.spacedaily.com/news/microsat-00k.html	http://www.spacenewsfeed.co.uk/2005/30October2005_25.html	http://www.lib.cas.cz/www/space.40/2005/043A.HTM	http://directory.eoportal.org/pres_DMCDisasterMonitoringConstellationAlSAT1BILSAT1NigeriaSat1UKDMCBeijing1.html																																																																																																																																																																																																																														
Bird 2 (Bispectral InfraRed Detector 2)	Germany	Germany	Institute of Space Sensor Technology and Planetary Exploration	Government/Civil	Earth Observation/Technology Development	Optical Imaging	LEO	Sun-Synchronous	0	500	521	1.53E-03	97.9	94.8	92	77	120	10/22/2001	1.5 yrs.	Deutsches Zentrum für Luft- und Raumfahrt	Germany	Satish Dhawan Space Centre	PSLV C3	2001-049C	26959	Forest fire recognition by small satellites.		www.satellitedebris.net 12/12	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx576.html	http://spacesensors.dlr.de/SE/bird/	http://www.lib.cas.cz/www/space.40/2001/049C.HTM																																																																																																																																																																																																																														
BKA 2 (BelKA 2)	Belarus	Belarus	National Academy of Sciences	Government	Earth Observation	Optical Imaging	LEO		0	503	507	2.91E-04	97.5	94.7	400	110	300	7/22/2012	5 yrs.	NPO VNIIEM	Russia	Baikonur Cosmodrome	Soyuz-Fregat	2012-039B	38708	Analog of Canopus-B. Supplies information to various government agencies.		www.satellitedebris.net 12/12	http://www.spacedaily.com/reports/Russia_Launches_Soyuz_FG_Rocket_with_Five_Satellites_999.html	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012	http://weebau.com/satellite/B/belka2.htm																																																																																																																																																																																																																															
Brazilsat B-2 (Brasilsat B-2)	Brazil	Brazil	Star One (SES [Société Européenne des Satellites (SES)])	Military/Commercial	Communications		GEO		-68	"35,776"	"35,797"	2.49E-04	0.84	1436.11	"1,780"	"1,050 (BOL)"	"1,800 (BOL)"	3/28/1995	12 yrs.	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 44LP	1995-016A	23536	24 C-band; several X-band. Used for telephone service in Brazilian interior.		JM/12_08	http://www.starone.com.br/en/internas/brasilsat_b2/																																																																																																																																																																																																																																	
Brazilsat B-3 (Brasilsat B-3)	Brazil	Brazil	Star One (SES [Société Européenne des Satellites (SES)])	Commercial	Communications		GEO		-74.96	"35,769"	"35,803"	4.03E-04	0.04	1436.07	"1,780"	"1,050 (BOL)"	"1,800 (BOL)"	2/4/1998	12 yrs.	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 44LP	1998-006A	25152	28 C-band transponders for voice and video communication.		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa/gov/spacewarn/spx532.html	http://samadi.jpl.nasa/gov/msl/QuickLooks/brazilsatQL.html																																																																																																																																																																																																																															
Brazilsat B-4 (Brasilsat B-4)	Brazil	Brazil	Star One (SES [Société Européenne des Satellites (SES)])	Commercial	Communications		GEO		-84.03	"35,772"	"35,800"	3.32E-04	0.07	1436.09	"2,495"	"1,050 (BOL)"	"1,800 (BOL)"	8/17/2000	12 yrs.	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 44LP	2000-046A	26469	28 C-band; voice and video communications to all of South America.		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa/gov/spacewarn/spx562.html	http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/00_08_17_launch.html																																																																																																																																																																																																																															
"BRICSat-P (Balistically Reinforced Communications Satellite, NO-83)"	NR	USA	US Naval Academy	Civil	Communications		LEO		0	356	700	2.49E-02	55	95.19	4			5/20/2015		US Naval Academy Lab	USA	Cape Canaveral	Atlas 5	2015-025E	40655	Demonstrate the on-orbit operation of a Micro-Cathode Arc Thruster (µCAT). 		JM/8_15	http://www.spaceflight101.com/afspc-05-secondary-payloads.html	http://www.amsat.org/?page_id=4247																																																																																																																																																																																																																																
BRITE-CA-1 (BRITE Toronto)	NR (12/14)	Canada	"University of Toronto, Institute for Aerospace Studies"	Civil	Space Science		LEO	Sun-Synchronous	0	613	739	8.94E-03	97.97	98.27	10			6/19/2014		"University of Toronto, Institute for Aerospace Studies"	Canada	Dombarovsky Air Base	Dnepr	2014-033L	40020	"Canadian contribution to the BRITE (Bright Target Explorer) mission, developedby a consoritum of Canadian, Austrian and Polish institutes. It will study the brightest stars in the Milky Way galaxy."		ZARYA	http://www.univie.ac.at/brite-constellation/html/constellation.html																																																																																																																																																																																																																																	
"BRITE-PL-1 (BRIght-star Target Explorer - Poland, Lem)"	Poland	Multinational	BRITE Consortium	Government	Space Science		LEO	Sun-Synchronous	0	594	886	2.05E-02	97.7	99.6	10			11/21/2013	2 yrs.	"Space Research Center, Polish Academy of Sciences"	Poland	Dombarovsky Air Base	Dnepr	2013-066R	39431	"Polish contribution to the BRITE (Bright Target Explorer) mission, developed by a consortium of Canadian, Austrian and Polish institutes. It will study the brightest stars in the Milky Way galaxy. First constellation of nanosatellites."		ZARYA	http://www.oosa.unvienna.org/pdf/pres/stsc2013/tech-61E.pdf																																																																																																																																																																																																																																	
"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)"	NR (1/15)	Multinational	BRITE Consortium	Government	Space Science		LEO	Sun-Synchronous	0	610	633	1.64E-03	98.02	97.1	10			8/19/2014	2 yrs.	"Space Research Center, Polish Academy of Sciences"	Poland	Taiyuan Launch Center	CZ-4B	2014-049B	40119	Second Polish contribute to the BRITE mission.		ZARYA	http://www.nasaspaceflight.com/2014/08/chinese-long-march-4b-gaofen-2-brite-pl-2/	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																																
BSAT-3A	Japan	Japan	Broadcasting Satellite System Corp.	Commercial	Communications		GEO		109.91	"35,778"	"35,794"	1.90E-04	0.03	1436.1	"1,980"			8/14/2007	13 yrs.	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 5 ECA	2007-036B	32019	Twelve 130W Ku-band transponders; HD TV.		JM/12_08		http://www.spacemart.com/reports/Lockheed_Martin_Built_BSAT_3a_Satellite_Ready_For_Launch_999.html	http://www.comspacewatch.com/news/viewpr.html?pid=23268																																																																																																																																																																																																																															
BSAT-3B	Japan	Japan	Broadcasting Satellite System Corp.	Commercial	Communications		GEO		110	"33,066"	"35,725"	3.26E-02	0.07	1365.61	"2,060"	975		10/28/2010	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 5 ECA	2010-056B	37207	Broadcast 130W Ku-band transponders.		SC - ASCR	http://www.lib.cas.cz/space.40/2010/056B.HTM	http://spacefellowship.com/news/art23646/all-systems-are-nominal-aboard-bsat-3b-satellite.html		http://forum.nasaspaceflight.com/index.php?topic=12709.0																																																																																																																																																																																																																														
BSAT-3C/JCSat 110-R	Japan	Japan	Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation	Commercial	Communications		GEO		110	"35,784"	"35,787"	3.56E-05	0.05	1436.04	"2,910"			8/6/2011	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 5 ECA	2011-041B	37776	Co-owned by two companies.		SC - ASCR	http://www.lockheedmartin.com/news/press_releases/2011/0806_ss_BSAT-3c.html	http://www.lib.cas.cz/space.40/2011/041B.HTM																																																																																																																																																																																																																																
Bugsat-1 (Tita)	NR (12/1/14)	Argentina	Satellogic S.A.	Commercial	Technology Development		LEO	Sun-Synchronous	0	570	617	3.37E-03	97.99	96.55	25			6/19/2014		Satellogic S.A.	Argentina	Dombarovsky Air Base	Dnepr	2014-033E	40014	Technological demonstration of a platform of small satellite for Earth observation that the company plans to put into orbit to provide a commercial service at a global level. 		ZARYA	http://www.machtres.com/lang1/bugsat1.html		http://www.dk3wn.info/sat/afu/sat_bugsat.shtml																																																																																																																																																																																																																															
C/NOFS (Communication/Navigation Outage Forecasting System)	USA	USA	US Air Force	Military	Technology Development		LEO		0	359	538	1.31E-02	13	96.85	384			4/16/2008		General Dynamics	USA	L-1011 Aircraft	Pegasus	2008-017A	32765	Designed to monitor and forecast global ionospheric scintillation in real-time.		WT	http://www.kirtland.af.mil/shared/media/document/AFD-070404-094.pdf	http://www.lib.cas.cz/space.40/2008/I017A.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html																																																																																																																																																																																																																															
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation)	France	France/USA	Centre National d'Etudes Spatiales (CNES)/NASA	Government	Earth Science		LEO	Sun-Synchronous	0	702	703	7.07E-05	98.2	98.8	587		550	4/28/2006	3 yrs.	Alcatel Alenia Space	France	Vandenberg AFB	Delta 2	2006-016B	29108			www.satellitedebris.net 12/12	http://www.nasa.gov/pdf/147741main_cloudsat-calipso4.pdf	http://www.skycontrol.net/aerospace/successful-launch-of-the-climatology-calipso-satellite-integrated-by-alcatel-alenia-space/																																																																																																																																																																																																																																
Canopus-B (Kanopus Vulcan 1) 	Russia	Russia	Scientific Production Corporation (joint stock creation of Russian Space Agency)	Government	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	501	505	2.91E-04	97.5	94.7	400	110	300	7/22/2012	5 yrs.	All-Russia Research Institute of Electromechanics (NPP VNIIEM)	Russia	Baikonur Cosmodrome	Soyuz-Fregat	2012-039A	38707	Will provide users with operational hydro-meteorological information.		www.satellitedebris.net 12/12	http://en.is-service.su/news/childs/page/1/spacecraft-canopus-b-ica-fci-zond-pp-bca-tet-1-ads	http://www.spacedaily.com/reports/Russia_Launches_Soyuz_FG_Rocket_with_Five_Satellites_999.html	http://www.tsenki.com/en/launch_services/help_information/launch/2012/?EID=93961	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012																																																																																																																																																																																																																														
Can-X2 (Canadian Advanced Nanospace experiment)	Canada	Canada	University of Toronto Institute for Aerospace Studies	Civil	Technology Development		LEO	Sun-Synchronous	0	609	629	1.43E-03	97.8	97.1	7			4/28/2008		University of Toronto Institute for Aerospace Studies	Canada	Sriharikota Launch Station	PSLV C9	2008-021H	32790	Will downlink telemetry.		www.satellitedebris.net 12/12	http://www.lib.cas.cz/space.40/2008/I021A.HTM	http://www.isro.org/pressrelease/April28_2008.htm	http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html																																																																																																																																																																																																																															
"Can-X3a  (BRIght-star Target Explorer (BRITE), UniBRITE-1)"	Austria	Canada/Austria	University of Toronto Institute for Aerospace Studies/University of Vienna	Civil	Space Science		LEO	Sun-Synchronous	0	771	783	8.40E-04	98.6	100.3	5			2/25/2013		University of Toronto Institute for Aerospace Studies	Canada	Satish Dhawan Space Centre	PSLV	2013-009G	39092	Mission planned to make photometric observations of some of the brightest starts in the sky in order to examine these stars for variability. Works with TUGSat-1 from Austria.		SC - ASCR	http://www.utias-sfl.net/nanosatellites/CanX3/	http://space50.kosmo.cz/s40/2013/I009G.HTM																																																																																																																																																																																																																																
Can-X4	NR (12/14)	Canada	University of Toronto Institute for Aerospace Studies	Civil	Technology Development		LEO	Sun-Synchronous	0	642	659	1.21E-03	97.74	98.26	15			6/30/2014		University of Toronto Institute for Aerospace Studies	Canada	Sriharikota Launch Station	PSLV-CA	2014-034C	40055	Demonstrate formation flying by a pair of nanosatellites		ZARYA	http://www.squamishchief.com/indian-rocket-successfully-launches-2-small-canadian-satellites-1.1186753																																																																																																																																																																																																																																	
Can-X5	NR (12/14)	Canada	University of Toronto Institute for Aerospace Studies	Civil	Technology Development		LEO	Sun-Synchronous	0	643	656	9.26E-04	98.26	97.72	15			6/30/2014		University of Toronto Institute for Aerospace Studies	Canada	Sriharikota Launch Station	PSLV-CA	2014-034D	40056	Demonstrate formation flying by a pair of nanosatellites		ZARYA	http://www.squamishchief.com/indian-rocket-successfully-launches-2-small-canadian-satellites-1.1186753																																																																																																																																																																																																																																	
CartoSat 1 (IRS P5)	India	India	Indian Space Research Organization (ISRO)	Government	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	618	619	7.15E-05	97.9	97.1	"1,560"	"1,450"	"1,100"	5/5/2005	6 yrs.	Indian Space Research Organization (ISRO)	India	Satish Dhawan Space Centre	PSLV C6	2005-017A	28649	"Remote sensing and mapping, land use, forest cover, river flow assessments."		www.satellitedebris.net 12/12	http://www.isro.org/pressrelease/May01_2005.htm	http://www.lib.cas.cz/www/space.40/2005/017A.HTM	http://www.gisdevelopment.net/technology/rs/techrs023a.htm																																																																																																																																																																																																																															
"CartoSat 2 (IRS P7, CartoSat 2AT)"	India	India	Indian Space Research Organization (ISRO)	Government	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	632	635	2.14E-04	97	97.4	680			1/10/2007		Indian Space Research Organization (ISRO)	India	Satish Dhawan Space Centre	PSLV C7	2007-001B	29710	"Remote sensing and mapping; panchromatic images at one-meter resolution to be used for civil planning ""and other cartographic needs."""		www.satellitedebris.net 12/12	http://nssdc.gsfc.nasa.gov/spacewarn/spx639.html	http://www.lib.cas.cz/knav/space.40/2007/I001D.HTM																																																																																																																																																																																																																																
CartoSat 2A	India	India	Indian Space Research Organization (ISRO)	Military	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	624	643	1.36E-03	97.9	97.4	680			4/28/2008		Indian Space Research Organization (ISRO)	India	Sriharikota Launch Station	PSLV C9	2008-021A	32783	Military version of CartoSat 2; dedicated satellite for the Indian armed forces.		www.satellitedebris.net 12/12	http://www.lib.cas.cz/space.40/2008/I021A.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html																																																																																																																																																																																																																																
CartoSat 2B	India	India	Indian Space Research Organization (ISRO)	Government	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	622	645	1.64E-03	97.9	97.4	694			7/12/2010		Indian Space Research Organization (ISRO)	India	Sriharikota Launch Station	PSLV	2010-035A	36795	"Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories."		www.satellitedebris.net 12/12	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035A.HTM																																																																																																																																																																																																																																	
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer)	NR	Canada	Canadian Space Agency	Government	Earth Science		Elliptical		0	325	"1,486"	7.98E-02	81	103.11	490		600	9/29/2013	2 yrs.	Canadian Space Agency	Canada	Vandenberg AFB	Falcon 9	2013-055A	39265	"Study the effect of solar storms on radio communications, satellite navigation and other ground-based technologies."		ZARYA	http://www.thestar.com/news/canada/2013/09/29/cassiope_canadian_satellite_blasts_off_on_mission_to_study_space_weather.html	http://www.wmo-sat.info/oscar/satellites/view/470	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																															
CBERS 4 (China-Brazil Earth Resources Satellite 4)	NR (1/15)	China/Brazil	China National Space Administration (China)/National Institute for Space Research (Brazil)	Government	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	738	748	7.03E-04	98.55	99.67	"1,980"		"2,300"	12/7/2014	3 yrs.	China Academy of Space Technology (CAST)	China	Taiyuan Launch Center	Long March 4B	2014-079A	40336	Carrying a range of Earth observation sensors.		ZARYA	https://directory.eoportal.org/web/eoportal/satellite-missions/c-missions/cbers-3-4	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																																
CBNT-1 (Carbonite 1)	NR	United Kingdom	Surrey Satellite Technology Ltd.	Commercial	Technology Development		LEO	Sun-Synchronous	0	636	658	1.57E-03	98	97.66	91			7/10/2015		Surrey Satellite Technologies Ltd.	United Kingdom	Satish Dhawan Space Centre	PSLV	2015-032D	40718	Demonstrate earth observation techniques.		JM/8_15	http://www.nasaspaceflight.com/2015/07/indian-pslv-launch-five-british-satellites/																																																																																																																																																																																																																																	
CFESat (Cibola Flight Experiment Satellite)	USA	USA	Los Alamos National Labs (LANL)	Government	Technology Development		LEO		0	538	544	4.34E-04	35.4	95.5	159		110	3/9/2007		Surrey Satellite Technologies Ltd.	United Kingdom	Cape Canaveral	Atlas 5	2007-006F	30777	"A number of experiments, including a prototype supercomputer designed to process data onboard rather than sending raw information directly to Earth."		www.satellitedebris.net 12/12	http://www.spacenewsfeed.co.uk/2007/11March2007_63.html	http://www.lanl.gov/news/index.php/fuseaction/home.story/story_id/8916		http://www.lib.cas.cz/www/space.40/2007/006F.HTM																																																																																																																																																																																																																														
Chandra X-Ray Observatory (CXO)	USA	USA	NASA Goddard Space Flight Center	Government	Space Science		Elliptical	Deep Highly Eccentric	0	"9,999"	"138,825"	7.97E-01	28.5	3808.92	"4,742"		"2,500"	7/23/1999	5 yrs.	TRW Space and Electronics	USA	Cape Canaveral	Space Shuttle (STS 93)	1999-040B	25867	X-ray astronomy.		JMSatcat304	http://nssdc.gsfc.nasa.gov/spacewarn/spx549.html	http://spacelink.nasa/gov/NASA.Projects/Space.Science/Universe/Chandra.X-Ray.Observatory/	http://chandra.harvard.edu/graphics/press/fact7-print.pdf	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
ChinaSat 11 (Zhong Xing 11)	China	China	China Satellite Communication Corp. (China Satcom)	Commercial	Communications		GEO		98	"35,781"	"35,793"	1.42E-04	0.02	1436.14	"5,100"			5/1/2013	15 yrs.	China Aerospace Science and Technology Corp. (CASC)	China	Xichang Satellite Launch Center	Long March 3B	2013-020A	39157	"19 Ku-band and 26 C-band transponders to provide commercial communications to China, East Asia, China Sea, South Asia, Indian Ocean, the Middle East, Africa and Australia."		JM/8_15	http://www.spaceflight101.com/chinasat-11-launch-long-march-3be.html	http://sky-brokers.com/uploads/c6/ba/c6baa92bd1bc848b3a050ed0f7b401d7/ChinaSat-11-Satellite-Footprint.pdf																																																																																																																																																																																																																																
ChinaSat 6B (Zhong Xing 6B)	China	China	China Satellite Communication Corp. (China Satcom)	Commercial/Government	Communications		GEO		115.58	"35,777"	"35,797"	2.37E-04	0.05	1436.1	"4,600"		"9,500"	7/6/2007	15 yrs.	Thales Alenia Space	France/Italy	Xichang Satellite Launch Center	Long March 3B	2007-031A	31800	38 C-band; voice and video services to Asia-Pacific and Oceania.		JM/12_08	http://www.space-travel.com/reports/China_Launches_Thales_built_Chinasat_6B_Telecommunication_Satellite_999.html	http://www.lib.cas.cz/space.40/2007/031A.HTM																																																																																																																																																																																																																																
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)"	China	China	Chinese Academy of Sciences	Government	Communications		LEO	Sun-Synchronous	0	729	748	1.34E-03	98.5	99.6	100			10/21/2003		China Academy of Sciences	China	Taiyuan Launch Center	Long March 3B	2003-049B	28058	Prototype of advanced telecommunications satellite for LEO.		www.satellitedebris.net 12/12	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://english.cas.ac.cn/eng2003/news/detailnewsb.asp?InfoNo=24708	http://nssdc.gsfc.nasa.gov/spacewarn/spx600.html																																																																																																																																																																																																																															
Chuangxin 1-2 (Innovation 1-2)	China	China	Chinese Academy of Sciences	Government	Earth Observation	Optical Imaging/Meterology	LEO	Sun-Synchronous	0	785	804	1.33E-03	98.5	98.5	101			11/5/2008		China Academy of Sciences	China	Jiuquan Satellite Launch Center	Long March 2D	2008-056B	33434	Collect and relay hydrological and meteorological data and data for disaster relief.		www.satellitedebris.net 12/12	http://www.lib.cas.cz/space.40/2008/I065B.HTM																																																																																																																																																																																																																																	
Chuangxin 1-3 (Innovation 1-3)	China	China	Chinese Academy of Sciences	Government	Earth Observation	Optical Imaging/Meterology	LEO	Sun-Synchronous	0	784	804	1.40E-03	98.5	100.7	100			11/20/2011		China Academy of Sciences	China	Jiuquan Satellite Launch Center	Long March 2D	2011-068A	37930	Collect and relay hydrological and meteorological data and data for disaster relief.		www.satellitedebris.net 12/12	http://spaceflightnow.com/news/n1111/19longmarch/	http://www.lib.cas.cz/space.40/2011/068A.HTM																																																																																																																																																																																																																																
Chuangxin 1-4 (Innovation 1-4)	China	China	Chinese Academy of Sciences	Government	Earth Observation	Optical Imaging/Meterology	LEO	Sun-Synchronous	0	778	809	2.16E-03	98.46	100.74	100			9/4/2014		China Academy of Sciences	China 	Jiuquan Satellite Launch Center	Long March 2D	2014-051B	40137	Collect and relay hydrological and meteorological data and data for disaster relief.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://www.spaceflight101.com/chinese-long-march-2d-successfully-launches-two-satellites---ling-qiao--cx-1-04.html																																																																																																																																																																																																																																
Chuangxin-3	China	China	Chinese Academy of Sciences	Government	Technology Development		LEO	Sun-Synchronous	0	665	672	4.97E-04	98.03	96.43	200			7/19/2013		China Academy of Sciences	China	Taiyuan Launch Center	Long March 2C	2013-037B	39209	"Equipped with a system for testing a manipulator arm, maybe a proof of concept for use on China's upcoming space station."		WT	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013	http://www.spaceflight101.com/long-march-4c-taiyuan-launch-july-19-2013.html																																																																																																																																																																																																																																
ChubuSat 1 (Kinshachi)	NR (1/15)	Japan	Nagora University and Daido University	Civil	Technology Development		LEO	Sun-Synchronous	0	506	538	2.32E-03	97.48	95.07	50			11/6/2014		Nagoya University and Daido University	Japan	Dombarovsky Air Base	Dnepr	2014-070C	40300	"Technology demonstration, Earth imager, sensors to detect space debris and an amateur radio communications system."		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	https://directory.eoportal.org/web/eoportal/satellite-missions/h/hodoyoshi-1																																																																																																																																																																																																																																
Ciel-2	Canada	Canada	Ciel Satellite Group	Commercial	Communications		GEO		-129	"35,782"	"35,788"	7.12E-05	0.05	1436.05	"5,585"			12/10/2008	15 yrs.	Thales Alenia Space	France	Baikonur Cosmodrome	Proton M	2008-063A	33453	Digital television; 32 Ku-band transponders.		JM/12_08	http://www.lib.cas.cz/space.40/2008/I065B.HTM	http://www.cielsatellite.ca/satellites.html																																																																																																																																																																																																																																
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)"	USA	USA	University of California-Berkeley/Imperial College-London	Civil	Space Science		LEO	Sun-Synchronous	0	484	791	2.19E-02	64.6	97.4	3			9/13/2012		"Space Sciences Laboratory (SSL) of the University of California Berkeley;  Kyung Hee University (KHU), Imperial College London"	USA	Vandenberg AFB	Atlas 5	2012-048G	38764	Study of space weather effects in near-Earth space.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end																																																																																																																																																																																																																																	
CLIO (USA 257)	NR (1/15)	USA	Unknown US agency	Military	Communications		GEO											9/16/2014		Lockheed Martin	USA	Cape Canaveral	Atlas 5	2014-055A	40208				http://www.spaceflight101.com/atlas-v---clio-launch-updates.html	http://www.nasaspaceflight.com/2014/09/ula-atlas-v-secretive-clio-mission/																																																																																																																																																																																																																																
Cloudsat	USA	USA	NASA/Colorado State University	Government/Civil	Earth Observation	Radar Imaging	LEO	Sun-Synchronous	0	702	703	7.07E-05	98.2	98.8	848		570	4/28/2006	2 yrs.	NASA Jet Propulsion Laboratory	USA	Vandenberg AFB	Delta 2	2006-016A	29107	"Joins Aqua, Parasol, Aura, and Calipso in A-Train; meteorological satellite, carries single radar to obtain the reflectivity of clouds."		www.satellitedebris.net 12/12	http://cloudsat.atmos.colostate.edu/overview	http://www.nasa.gov/pdf/147741main_cloudsat-calipso4.pdf																																																																																																																																																																																																																																
