"Name of Satellite, Alternate Names"	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																												
"Advanced Orion 4 (NRO L-26, USA 202)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		44	"35,714"	"35,937"	2.64E-03	2.89	1438.8	"5,000"			1/18/2009		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	2009-001A	33490	ELINT.		SC - ASCR	http://www.globalsecurity.org/space/systems/trumpet.htm	http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html	http://www.sworld.com.au/steven/space/usmil-man.txt	http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/																																																																																																																																																																																																																														
"Advanced Orion 5 (NRO L-32, USA 223)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		100.9	"35,500"	"35,500"	0.00E+00	0		"5,000"			11/21/2010		National Reconnaissance Laboratory (?)	USA	Cape Canaveral	Delta 4 Heavy	2010-063A	37232	ELINT.		SC - ASCR	http://forum.nasaspaceflight.com/index.php?topic=11127.45	http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html	http://www.sworld.com.au/steven/space/usmil-man.txt	http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/																																																																																																																																																																																																																														
"Advanced Orion 6 (NRO L-15, USA 237)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Electronic Intelligence	GEO		60	"35,771"	"35,805"	4.03E-04	0	23.94	"5,000"			6/29/2012		National Reconnaissance Laboratory(?)	USA	Cape Canaveral	Delta 4 Heavy	2012-034A	38528	ELINT.		CalSky	http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/	http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/	http://www.calsky.com/observer//tle.cgi?satid=12034A&tdt=2456146.41756944																																																																																																																																																																																																																															
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)"	USA	USA	US Air Force	Military	Communications		GEO		-120	"35,700"	"35,700"	0.00E+00	20.39	1306.29	"6,169"			5/3/2012	14 yrs.	Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	2012-019A	38254	Second in constellation.		ZARYA		http://www.nasaspaceflight.com/2013/09/atlas-v-loft-aehf-3-satellite/																																																																																																																																																																																																																																
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)"	NR	USA	US Air Force	Military	Communications		GEO			"35,700"	"35,700"	0.00E+00	20.39	1306.29	"6,169"			9/18/2013	14 yrs.	Lockheed Martin Space Systems	USA	Cape Canaveral	Atlas 5	2013-050A	39256	Third in constellation.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013	http://www.nasaspaceflight.com/2013/09/atlas-v-loft-aehf-3-satellite/																																																																																																																																																																																																																																
Aeneas	USA	USA	Department of Homeland Security	Government	Technology Development		LEO		0	480	790	2.21E-02	0.02	97.4	3			9/13/2012		University of Southern California	USA	Vandenberg AFB	Atlas 5	2012-048C	38760	Demonsration program to track cargo containers worldwide.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end	http://www.spaceflight101.com/nrol-36-launch.updates.html																																																																																																																																																																																																																																
Aerocube 4.5A	USA	USA	Aerospace Corporation	Commercial	Technology Development		LEO		0	495	791	2.11E-02	64.6	97.5	5			9/13/2012		Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	2012-048K	38767			ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end	https://directory.eoportal.org/web/eoportal/satellite-missions/a/aerocube-4																																																																																																																																																																																																																																
Aerocube 4.5B	USA	USA	Aerospace Corporation	Commercial	Technology Development		LEO		0	499	792	2.09E-02	64.6	97.6	5			9/13/2012		Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	2012-048L	38768			ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end	https://directory.eoportal.org/web/eoportal/satellite-missions/a/aerocube-4																																																																																																																																																																																																																																
Aerocube 5A	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO		0	443	886	3.15E-02	120.3	98	5			12/6/2013	2 yrs.	Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	2013-072D	39465	Cubesat to demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.		ZARYA	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html	https://www.aerospace.org/2013/08/14/sometimes-smaller-is-better/	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html																																																																																																																																																																																																																															
Aerocube 5B	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO		0	443	886	3.15E-02	120.3	98	5			12/6/2013	2 yrs.	Aerospace Corporation	USA	Vandenberg AFB	Atlas 5	2013-072E	39466	Cubesat to demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.		ZARYA	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html	https://www.aerospace.org/2013/08/14/sometimes-smaller-is-better/	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html																																																																																																																																																																																																																															
